高校名,学校独自URL,生徒数,国公立合格者数,合格率
東京都立橘高等学校,https://www.metro.ed.jp/tachibana-h/,-,-,-
東京都立東久留米総合高等学校,http://www.higashikurume-sogo-h.metro.tokyo.jp,-,-,-
三宅高等学校,https://www.metro.ed.jp/miyake-h/,-,-,-
武蔵高等学校,https://www.metro.ed.jp/musashi-h/,-,-,-
武蔵丘高等学校,https://www.metro.ed.jp/musashigaoka-h/,-,-,-
松原高等学校,https://www.metro.ed.jp/matsubara-h/,-,-,-
葛飾総合高等学校,https://www.metro.ed.jp/katsushikasogo-h/,-,-,-
東京都立秋留台高等学校,https://www.metro.ed.jp/akirudai-h/,-,-,-
蒲田高等学校,https://www.metro.ed.jp/kamata-h/,-,-,-
南葛飾高等学校,http://www.minamikatsushika-h.metro.tokyo.jp,-,-,-
篠崎高等学校,http://www.shinozaki-h.metro.tokyo.jp/,-,-,-
瑞穂農芸高等学校,http://www.mizuho-h.metro.tokyo.jp/,-,-,-
青井高等学校,https://www.metro.ed.jp/aoi-h/,-,-,-
紅葉川高等学校,https://www.metro.ed.jp/momijigawa-h/,-,-,-
向丘高等学校,http://www.metro.ed.jp/mukogaoka-h/,-,-,-
両国高等学校,https://www.metro.ed.jp/ryogoku-h/,-,-,-
東京都立武蔵村山高等学校,http://www.musashimurayama-h.metro.tokyo.jp/,-,-,-
拝島高等学校,https://www.metro.ed.jp/haijima-h/,-,-,-
雪谷高等学校,https://www.metro.ed.jp/yukigaya-h/,-,-,-
調布南高等学校,https://www.metro.ed.jp/chofuminami-h/,-,-,-
三田高等学校,https://www.metro.ed.jp/mita-h/,-,-,-
雙葉高等学校,https://www.futabagakuen-jh.ed.jp/jsh/,-,-,-
飛鳥高等学校,http://www.asuka-h.metro.tokyo.jp/,-,-,-
女子学院高等学校,http://www.joshigakuin.ed.jp/,2021,-,-
東京家政学院高等学校,https://www.kasei-gakuin.ed.jp/,-,-,-
砂川高等学校（定時制）,https://www.metro.ed.jp/sunagawa-he/,-,-,-
暁星高等学校,https://www.gyosei-h.ed.jp/,-,-,-
武蔵野北高等学校,https://musashinokita-h.metro.ed.jp/,-,-,-
千代田高等学校,https://chiyoda.ed.jp/,-,-,-
